iter	Passed	Remaining
0	69	69304
1	82	41267
2	95	31703
3	109	27165
4	120	24047
5	131	21824
6	143	20304
7	155	19305
8	169	18625
9	184	18232
10	196	17671
11	210	17332
12	228	17357
13	240	16942
14	255	16784
15	270	16613
16	283	16414
17	297	16226
18	309	15974
19	322	15786
20	336	15685
21	351	15603
22	365	15536
23	379	15418
24	392	15313
25	406	15221
26	420	15142
27	433	15044
28	449	15036
29	462	14949
30	475	14870
31	487	14745
32	498	14595
33	512	14546
34	526	14510
35	539	14455
36	550	14340
37	562	14244
38	577	14221
39	592	14223
40	605	14152
41	616	14066
42	628	13980
43	641	13927
44	653	13865
45	665	13798
46	677	13746
47	690	13703
48	704	13663
49	718	13651
50	732	13625
51	743	13563
52	755	13497
53	772	13528
54	788	13553
55	801	13513
56	816	13507
57	831	13510
58	846	13497
59	860	13480
60	872	13425
61	883	13365
62	898	13361
63	912	13346
64	925	13310
65	936	13250
66	946	13186
67	960	13169
68	973	13134
69	987	13115
70	997	13055
71	1010	13018
72	1025	13017
73	1041	13026
74	1060	13074
75	1077	13097
76	1095	13126
77	1114	13177
78	1132	13206
79	1149	13220
80	1168	13262
81	1184	13261
82	1200	13262
83	1217	13275
84	1233	13279
85	1246	13246
86	1262	13246
87	1279	13258
88	1293	13239
89	1304	13189
90	1316	13154
91	1334	13168
92	1351	13183
93	1369	13204
94	1387	13215
95	1401	13195
96	1413	13162
97	1429	13153
98	1444	13143
99	1457	13115
100	1472	13102
101	1486	13086
102	1502	13082
103	1516	13066
104	1530	13046
105	1545	13033
106	1559	13016
107	1574	13001
108	1590	13001
109	1607	13006
110	1623	13000
111	1639	12995
112	1651	12964
113	1662	12923
114	1676	12903
115	1691	12888
116	1705	12869
117	1720	12859
118	1734	12837
119	1747	12815
120	1760	12791
121	1776	12783
122	1791	12774
123	1803	12742
124	1818	12730
125	1834	12727
126	1849	12714
127	1865	12710
128	1881	12706
129	1898	12704
130	1912	12688
131	1926	12666
132	1937	12627
133	1948	12589
134	1959	12557
135	1971	12526
136	1983	12493
137	1997	12475
138	2009	12448
139	2023	12428
140	2039	12425
141	2057	12433
142	2072	12418
143	2088	12415
144	2106	12418
145	2121	12407
146	2135	12394
147	2148	12370
148	2159	12335
149	2170	12298
150	2181	12264
151	2195	12247
152	2207	12219
153	2219	12193
154	2233	12173
155	2246	12152
156	2258	12124
157	2269	12095
158	2283	12080
159	2297	12061
160	2308	12029
161	2319	11998
162	2331	11972
163	2345	11954
164	2356	11926
165	2367	11895
166	2381	11881
167	2397	11874
168	2412	11864
169	2427	11850
170	2443	11846
171	2457	11832
172	2470	11811
173	2481	11780
174	2494	11758
175	2508	11742
176	2520	11721
177	2534	11703
178	2547	11682
179	2558	11655
180	2572	11640
181	2588	11635
182	2604	11629
183	2619	11615
184	2633	11601
185	2644	11574
186	2657	11553
187	2668	11525
188	2679	11499
189	2690	11470
190	2702	11444
191	2716	11431
192	2731	11420
193	2744	11402
194	2755	11376
195	2767	11353
196	2780	11335
197	2798	11334
198	2814	11327
199	2829	11318
200	2844	11307
201	2856	11284
202	2866	11255
203	2879	11237
204	2893	11220
205	2905	11198
206	2915	11170
207	2928	11149
208	2942	11136
209	2956	11121
210	2967	11095
211	2977	11067
212	2991	11054
213	3008	11048
214	3020	11029
215	3038	11028
216	3055	11026
217	3082	11055
218	3103	11069
219	3117	11051
220	3129	11031
221	3142	11012
222	3157	11001
223	3173	10993
224	3187	10979
225	3201	10962
226	3216	10952
227	3231	10940
228	3242	10916
229	3255	10900
230	3272	10894
231	3286	10878
232	3300	10863
233	3315	10852
234	3330	10842
235	3344	10828
236	3357	10808
237	3366	10779
238	3380	10762
239	3396	10756
240	3412	10745
241	3429	10741
242	3443	10727
243	3458	10716
244	3471	10698
245	3485	10682
246	3496	10659
247	3510	10644
248	3523	10628
249	3540	10620
250	3553	10602
251	3564	10580
252	3575	10556
253	3588	10539
254	3602	10525
255	3620	10523
256	3637	10516
257	3653	10507
258	3667	10493
259	3682	10480
260	3694	10460
261	3708	10446
262	3720	10426
263	3734	10412
264	3749	10399
265	3764	10386
266	3777	10371
267	3788	10347
268	3800	10329
269	3816	10318
270	3832	10310
271	3847	10297
272	3864	10289
273	3878	10275
274	3891	10258
275	3902	10237
276	3914	10216
277	3928	10202
278	3943	10191
279	3956	10172
280	3967	10151
281	3978	10129
282	3989	10108
283	4000	10086
284	4012	10066
285	4026	10051
286	4041	10039
287	4056	10027
288	4069	10010
289	4107	10055
290	4140	10087
291	4160	10086
292	4174	10072
293	4187	10055
294	4199	10036
295	4212	10017
296	4227	10005
297	4239	9987
298	4255	9976
299	4269	9962
300	4282	9944
301	4296	9929
302	4307	9908
303	4318	9888
304	4331	9871
305	4344	9852
